is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
0,1,0,0,1,0,1,1160,1,2022,18-1,18TH DISTRICT,0,0.2902964628634559
0,1,0,0,1,0,0,1065,6,2022,14-2,14TH DISTRICT,0,0.19639770814294155
0,1,0,0,1,0,0,1190,1,2022,14-2,14TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1037,3,2022,14-2,14TH DISTRICT,0,0.26779646286345593
0,1,0,0,1,0,1,1112,3,2022,14-2,14TH DISTRICT,0,0.3006359690362954
0,1,0,0,1,0,1,1185,5,2022,14-2,14TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1196,2,2022,14-2,14TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1102,2,2022,14-2,14TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,0,1155,1,2022,18-2,18TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,1,1230,0,2022,18-2,18TH DISTRICT,1,0.1702964628634559
0,1,0,0,1,0,0,1080,4,2022,18-2,18TH DISTRICT,0,0.2369322653325917
0,1,0,0,1,0,1,1220,5,2022,18-2,18TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1190,5,2022,12-3,12TH DISTRICT,0,0.3298026357029621
1,0,0,1,0,0,1,1146,5,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1090,5,2022,39-1,39TH DISTRICT,0,0.208382352816953
1,0,0,1,0,0,1,1195,3,2022,39-1,39TH DISTRICT,0,0.23001868508567813
0,1,0,0,1,0,0,1100,2,2022,39-1,39TH DISTRICT,0,0.1838512832498359
0,1,0,0,1,0,0,1180,3,2022,39-1,39TH DISTRICT,1,0.08029646286345592
0,0,0,0,0,1,0,1154,1,2022,39-1,39TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1135,3,2022,39-1,39TH DISTRICT,1,0.18809584490521492
