quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2014-01-01,09,1,white,Male,35-44,11,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Female,65+,3,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,other_race,Male,25-34,4,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Male,<25,12,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,black,Male,55-64,6,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Male,25-34,24,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Female,45-54,7,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,black,Female,25-34,11,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,asian,Male,55-64,1,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Female,55-64,4,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,black,Male,35-44,3,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,black,Male,25-34,13,1,0,0,1,1,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,other_race,Male,35-44,3,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,other_race,Male,45-54,1,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,white,Male,55-64,12,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,black,Male,<25,16,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
2014-01-01,09,1,asian,Male,35-44,1,0,0,0,0,0,2014-01-01,2014-Q1,Q1,2014
